benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B1,24,k,1.1599092269590576,1434.4343858596342,1431.6279284230593,{},PASS,False
B1,25,k,1.2480502938311424,1743.553060690883,1740.7466032543082,{},PASS,False
B1,26,k,1.3428891672977286,2075.48298099352,2072.676523556945,{},PASS,False
B1,27,k,1.444934811168415,2428.238275464052,2425.431818027477,{},PASS,False
B1,28,k,1.5547348652216917,2799.8745047118614,2797.0680472752865,{},PASS,False
B1,29,k,1.6728785841772988,3188.4974608886846,3185.6910034521097,{},PASS,False
B1,30,k,1.8000000000000003,3592.268505301851,3589.462047865276,{},PASS,False
B2,0,k,0.19999999999999998,2.8150098520858178,0.014410847960116602,{},PASS,False
B2,1,k,0.21519792494506915,2.814615795927996,0.014016791802294648,{},PASS,False
B2,2,k,0.23155073450331806,2.8141978941140913,0.013598889988390095,{},PASS,False
B2,3,k,0.24914618792310345,2.8137552964441146,0.01315629231841342,{},PASS,False
B2,4,k,0.26807871324513055,2.8132872397832487,0.012688235657547509,{},PASS,False
B2,5,k,0.2884499140614816,2.812793078590016,0.012194074464314753,{},PASS,False
B2,6,k,0.31036911478307194,2.8122723215330296,0.011673317407328465,{},PASS,False
B2,7,k,0.33395394734177536,2.8117246752522576,0.01112567112655638,{},PASS,False
B2,8,k,0.35933098247582473,2.811150096495334,0.010551092369632808,{},PASS,False
B2,9,k,0.38663640898635254,2.8105488540599035,0.009949849934202337,{},PASS,False
B2,10,k,0.4160167646103808,2.809921602208079,0.009322598082377898,{},PASS,False
B2,11,k,0.4476297224325762,2.8092694674892225,0.008670463363521286,{},PASS,False
B2,12,k,0.4816449370561384,2.8085941512228954,0.007995147097194177,{},PASS,False
B2,13,k,0.5182449550738971,2.8078980502582853,0.007299046132584142,{},PASS,False
B2,14,k,0.5576261947257664,2.80718439904925,0.006585394923548815,{},PASS,False
B2,15,k,0.6,2.806457436574798,0.005858432449096895,{},PASS,False
B2,16,k,0.6455937748352074,2.8057226022030592,0.005123598077358071,{},PASS,False
B2,17,k,0.6946522035099544,2.8049867652550633,0.004387761129362122,{},PASS,False
B2,18,k,0.7474385637693103,2.804258493787406,0.003659489661704818,{},PASS,False
B2,19,k,0.8042361397353917,2.803548368997281,0.002949364871579707,{},PASS,False
B2,20,k,0.8653497421844449,2.8028693526758457,0.0022703485501445186,{},PASS,False
B2,21,k,0.9311073443492158,2.802237216321987,0.0016382121962856822,{},PASS,False
B2,22,k,1.001861842025326,2.8016710419003563,0.0010720377746551435,{},PASS,False
B2,23,k,1.0779929474274743,2.801193805816462,0.0005948016907608711,{},PASS,False
B2,24,k,1.1599092269590576,2.80083305952058,0.0002340553948787516,{},PASS,False
B2,25,k,1.2480502938311424,2.800621722280491,2.271815478982475e-05,{},PASS,False
B2,26,k,1.3428891672977286,2.800599004125701,0.0,{},PASS,False
B2,27,k,1.444934811168415,2.800811479815637,0.00021247568993576493,{},PASS,False
B2,28,k,1.5547348652216917,2.8013143379799903,0.0007153338542891241,{},PASS,False
B2,29,k,1.6728785841772988,2.8021728333917477,0.0015738292660465447,{},PASS,False
B2,30,k,1.8000000000000003,2.803463974743235,0.0028649706175336576,{},PASS,False
B3,0,k,0.19999999999999998,2.7557541445463976,6.661338147750939e-15,"{""C"": 0.3985208466905232}",PASS,False
B3,1,k,0.21519792494506915,2.755754144546391,0.0,"{""C"": 0.4288042964771032}",PASS,False
B3,2,k,0.23155073450331806,2.7557541445463953,4.440892098500626e-15,"{""C"": 0.4613889736596128}",PASS,False
B3,3,k,0.24914618792310345,2.755754144546396,4.884981308350689e-15,"{""C"": 0.4964497495225494}",PASS,False
B3,4,k,0.26807871324513055,2.755754144546394,3.1086244689504383e-15,"{""C"": 0.5341747788655717}",PASS,False
B3,5,k,0.2884499140614816,2.7557541445464073,1.6431300764452317e-14,"{""C"": 0.5747665208371355}",PASS,False
B3,6,k,0.31036911478307194,2.755754144546402,1.1102230246251565e-14,"{""C"": 0.6184428122262532}",PASS,False
B3,7,k,0.33395394734177536,2.755754144546402,1.1102230246251565e-14,"{""C"": 0.6654380489894651}",PASS,False
B3,8,k,0.35933098247582473,2.755754144546394,3.1086244689504383e-15,"{""C"": 0.7160044373016031}",PASS,False
B3,9,k,0.38663640898635254,2.7557541445463962,5.329070518200751e-15,"{""C"": 0.7704133456065824}",PASS,False
